type,登録番号,施設名称,住所,fax,Web,LocName,fX,fY,iConf,iLvl
HTL,H0288,函館国際ホテル,北海道函館市大手町５番地１０号,0138-23-5151,http://www.hakodate-kokusai.jp/,北海道/函館市/大手町/５番,140.72131,41.77097,5,7
HTL,H0959,ホテルニューオーテ,北海道函館市若松町８番８号,0138-23-4561,http://homepage2.nifty.com/new-ohte/,北海道/函館市/若松町/８番,140.726,41.77176,5,7
HTL,H0969,ホテルキクヤ,北海道函館市若松町８番２３号,0138-26-1144,http://www.hotel-kikuya.com/,北海道/函館市/若松町/８番,140.726,41.77176,5,7
HTL,H0940,運河の宿おたるふる川,北海道小樽市色内１丁目２番１５号,0134-29-2345,http://www.otaru-furukawa.com/,北海道/小樽市/色内/一丁目/２番,141.00221,43.19802,5,7
HTL,H0970,小樽朝里クラッセホテル,北海道小樽市朝里川温泉２丁目６７６番地,0134-52-3800,http://www.classe-hotel.com/,北海道/小樽市/朝里川温泉/二丁目/６７６番地,141.04568,43.13775,5,7
HTL,H1240,オ－セントホテル小樽,北海道小樽市稲穂２丁目１５番１号,0134-27-8100,http://www.authent.co.jp/,北海道/小樽市/稲穂/二丁目/１５番,140.99756,43.19613,5,7
HTL,H0693,アートホテルズ旭川,北海道旭川市七条通６丁目２９番地２－４,0166-25-8811,http://www.art-asahikawa.com/,北海道/旭川市/七条通/六丁目/２９番地,142.36038,43.77254,5,7
HTL,H0875,旭川パークホテル,北海道旭川市高砂台３丁目８番３８号,0166-61-4455,http://asahikawa-ph.com/,北海道/旭川市/高砂台/三丁目/８番,142.31384,43.76473,5,7
HTL,H1106,ホテルクレッセント旭川,北海道旭川市5条通8丁目右10号,0166-27-1111,http://www.hotel-cr.com/,北海道/旭川市/五条通/八丁目,142.36235,43.76978,5,6
HTL,H0533,室蘭プリンスホテル,北海道室蘭市中央町１の４の９,0143-22-5555,http://muroran.noguchi-g.com/,北海道/室蘭市/中央町/一丁目/４番,140.97002,42.3197,5,7
HTL,H0696,釧路センチュリーキャッスルホテル,北海道釧路市大川町２の５,0154-43-2111,http://www.castlehotel.jp/,北海道/釧路市/大川町/２番,144.38712,42.98034,5,7
HTL,H1014,釧路プリンスホテル,北海道釧路市幸町７丁目１番地,0154-31-1111,http://www.princehotels.co.jp/kushiro/,北海道/釧路市/幸町/七丁目/１番地,144.38054,42.98477,5,7
HTL,H0325,帯広グランドホテル,北海道帯広市西二条南３の２０,0155-22-4181,http://www.ogh.co.jp/,北海道/帯広市/西二条/南三丁目/２０番地,143.20169,42.9286,5,7
HTL,H0876,森のスパリゾート 北海道ホテル,北海道帯広市西７条南１９丁目１番地,0155-21-0001,http://www.hokkaidohotel.co.jp/,北海道/帯広市/西七条/南十九丁目/１番地,143.19682,42.90973,5,7
HTL,H0938,十勝イン,北海道帯広市西３条１０丁目１４番地,0155-22-5151,http://tokachiinn.jp/,北海道/帯広市/西三条,143.19913,42.93232,5,5
HTL,H1333,サロマ湖鶴雅リゾート,北海道北見市常呂町栄浦３０６番地の１,0152-54-2000,http://www.s-tsuruga.com/,北海道/北見市/常呂町/栄浦,143.9816,44.13054,5,6
HTL,H0389,網走セントラルホテル,北海道網走市南二条西３丁目７番地,0152-44-5151,http://www.abashirich.com/,北海道/網走市/南二条/西三丁目/７番地,144.26399,44.02153,5,7
HTL,H1256,グランドホテルニュ－王子,北海道苫小牧市表町４丁目２番１０号,0144-31-3111,http://www.newoji.co.jp/,北海道/苫小牧市/表町/四丁目/２番,141.60057,42.63679,5,7
HTL,H1203,サフィールホテル稚内,北海道稚内市開運１丁目２番２号,0162-23-8111,https://www.surfeel-wakkanai.com/,北海道/稚内市/開運/一丁目/２番,141.67885,45.41824,5,7
HTL,H0676,根室グランドホテル,北海道根室市大正町２の２,0153-24-6611,http://www.nemuro.co.jp/,北海道/根室市/大正町/二丁目/２番地,145.58607,43.32884,5,7
HTL,H0994,イーストハーバーホテル,北海道根室市光和町１丁目２６番地,0153-24-1515,http://eastharbor-hotel.com/,北海道/根室市/光和町/一丁目/２６番地,145.57863,43.32702,5,7
HTL,H0494,ホテル日航千歳,北海道千歳市本町４丁目４番４号,0123-22-1121,,北海道/千歳市/本町/四丁目/４番地,141.6472,42.81729,5,7
HTL,H0347,ホテルスエヒロ,北海道滝川市明神町２の２の１６,0125-22-1311,http://hotel-suehiro.com/,北海道/滝川市/明神町/二丁目/２番,141.90854,43.55473,5,7
HTL,H0632,滝川ホテル三浦華園,北海道滝川市花月町１の２の２６,0125-22-2101,http://www.miurakaen.jp/,北海道/滝川市/花月町/一丁目/２番,141.90654,43.55358,5,7
HTL,H0367,富良野プリンスホテル,北海道富良野市北の峰町１８の６,0167-23-4111,http://www.princehotels.co.jp/furano/,北海道/富良野市/北の峰町/１８番,142.35808,43.33961,5,7
HTL,H0794,新富良野プリンスホテル,北海道富良野市字中御料,0167-22-1111,http://www.princehotels.co.jp/shinfurano,北海道/富良野市/中御料,142.36638,43.32127,5,5
HTL,H1099,ホテルベルヒルズ,北海道富良野市北の峰町２０番８号,0167-22-5200,http://www.bellhills.jp/,北海道/富良野市/北の峰町/２０番,142.36217,43.34428,5,7
HTL,H1172,ホテルナトウールヴァルト富良野,北海道富良野市北の峰町１４番４６号,0167-22-1211,http://naturwald-furano.com/,北海道/富良野市/北の峰町/１４番,142.36092,43.34316,5,7
HTL,H0425,滝本イン,北海道登別市登別温泉７６,0143-84-2205,http://www.takimotoinn.co.jp/ja/,北海道/登別市/登別温泉町,141.14275,42.49936,5,5
HTL,H0947,函館大沼プリンスホテル,北海道亀田郡七飯町西大沼１４８番地,0138-67-1111,http://www.princehotels.co.jp/hakodate/,北海道/亀田郡/七飯町/西大沼,140.61942,41.97997,5,5
HTL,H0562,ザ・グリーンリーフ・ニセコビレッジ,北海道虻田郡ニセコ町字東山１,0136-44-1111,http://www.thegreenleafhotel.com/ja,北海道/虻田郡/ニセコ町/東山,140.67242,42.84546,5,5
HTL,H0695,ホテル甘露の森,北海道虻田郡ニセコ町字ニセコ４１５,0136-58-3121,http://www.kanronomori.com/,北海道/虻田郡/ニセコ町/ニセコ,140.63899,42.8293,5,5
HTL,H1145,ヒルトンニセコビレッジ,北海道虻田郡ニセコ町字曽我９１９番地１他,0136-44-1111,http://hiltonnisekovillage.jp/,北海道/虻田郡/ニセコ町/曽我,140.67305,42.83372,5,5
HTL,H0981,ルスツリゾートホテル＆コンベンション,北海道虻田郡留寿都村字泉川１３番地他,0136-46-3331,http://rusutsu.co.jp/,北海道/虻田郡/留寿都村/泉川,140.91673,42.74747,5,5
HTL,H1371,旭岳万世閣ホテルベアモンテ,北海道上川郡東川町勇駒別１４１８番地,0166-97-2321,http://www.bearmonte.jp/,北海道/上川郡/東川町/勇駒別,142.81198,43.67063,5,5
HTL,H1432,旭岳万世閣ホテルディアバレー,北海道上川郡東川町勇駒別１４１８番地,0166-97-2321,http://www.deervalley.jp/,北海道/上川郡/東川町/勇駒別,142.81198,43.67063,5,5
HTL,H0656,北国グランドホテル,北海道利尻郡利尻富士町鴛泊字栄町９３,01638-2-1362,http://www.kitaguni-gp.com/,北海道/利尻郡/利尻富士町/鴛泊,141.21986,45.2221,5,5
HTL,H1398,ホテルあや瀬,北海道利尻郡利尻富士町鴛泊字栄町１２２番地,0163-82-1560,http://www.telnet-rishiri.info/pr/ayase/,北海道/利尻郡/利尻富士町/鴛泊,141.21986,45.2221,5,5
HTL,H1416,利尻マリンホテル,北海道利尻郡利尻富士町鴛泊字港町８１－５,01638-2-1337,http://www.marine-h.com/index2.htm,北海道/利尻郡/利尻富士町/鴛泊,141.21986,45.2221,5,5
HTL,H1486,ルートイングランティア知床斜里駅前,北海道斜里郡斜里町港町１６－１０,0152-22-1700,http://www.hotel-grantia.co.jp/shiretoko/,北海道/斜里郡/斜里町/港町/１６番地,144.66104,43.91135,5,7
HTL,H1368,ザ・ウインザーホテル洞爺リゾート＆スパ,北海道虻田郡洞爺湖町清水３３６番６,0142-73-1111,http://www.windsor-hotels.co.jp/ja/,北海道/虻田郡/洞爺湖町/清水,140.74857,42.57469,5,5
HTL,H1520,ザ　レイクビューTOYA　乃の風リゾート,北海道虻田郡洞爺湖町洞爺湖温泉２９－１,0142-75-2600,http://nonokaze-resort.com/,北海道/虻田郡/洞爺湖町/洞爺湖温泉/２９番地,140.81845,42.56614,5,7
HTL,H0865,浦河イン,北海道浦河郡浦河町築地３丁目１番３号,01462-2-1212,http://www.urakawainn.com/,北海道/浦河郡/浦河町/築地/三丁目,142.76521,42.17234,5,6
HTL,H0512,屈斜路プリンスホテル,北海道川上郡弟子屈町屈斜路３３６の１,01548-4-2111,http://www.princehotels.co.jp/kussharo/,北海道/川上郡/弟子屈町/屈斜路,144.3089,43.57115,5,5
HTL,H0861,トーヨーグランドホテル,北海道標津郡中標津町東20条北1丁目2・3,0153-72-1234,http://www.toyo-hotel.jp/,北海道/標津郡/中標津町/東二十条/北一丁目,144.99124,43.55833,5,6
HTL,H1542,ホテルノルド小樽,北海道小樽市色内1丁目4番16号,0134-24-0500,http://www.hotelnord.co.jp/,北海道/小樽市/色内/一丁目/４番,141.00131,43.19916,5,7
HTL,H1581,ホテルソニア小樽,北海道小樽市色内１丁目４番２０号,0134-23-2600,https://sonia-otaru.com/,北海道/小樽市/色内/一丁目/４番,141.00131,43.19916,5,7
HTL,H1559,カムイの湯　ラビスタ阿寒川,北海道釧路市阿寒町オクルシュベ3番1,0154-67-5600,https://www.hotespa.net/hotels/akangawa/,北海道/釧路市/阿寒町オクルシュベ,144.16339,43.42739,5,5
HTL,H1557,ドーミーイン稚内,北海道稚内市中央2-7-13,0162-24-5489,https://www.hotespa.net/hotels/wakkanai/,北海道/稚内市/中央/二丁目/７番,141.67482,45.41851,5,7
HTL,H0674,ホテルサンルート青森,青森県青森市新町１の９の８,017-775-2321,http://sunroute-aomori.com/,青森県/青森市/新町/一丁目/９番,140.73763,40.82754,5,7
HTL,H0736,ホテル城ケ倉,青森県青森市大字荒川字南荒川山国有林253、254林班イ、ロ外,017-738-0658,http://www.jogakura.com/,青森県/青森市/荒川,140.77739,40.68557,5,5
HTL,H0796,ホテル青森,青森県青森市堤町１の１の２３,017-775-4141,http://www.hotelaomori.co.jp/,青森県/青森市/堤町/一丁目/１番,140.75539,40.82522,5,7
HTL,H1143,八甲田ホテル,青森県青森市大字荒川字南荒川山１番地１号,017-728-2000,http://www.hakkodahotel.co.jp/index2.htm,青森県/青森市/荒川,140.77739,40.68557,5,5
HTL,H0353,ホテルニューキャッスル,青森県弘前市大字上鞘師町２４の１,0172-36-1211,http://www.newcastle.co.jp/,青森県/弘前市/上鞘師町/２４番地,140.47104,40.6049,5,7
HTL,H1504,ドーミーイン弘前,青森県弘前市大字本町７１－１,0172-37-5489,http://www.hotespa.net/hotels/hirosaki/,青森県/弘前市/本町/７１番地,140.46852,40.60089,5,7
HTL,H0187,八戸グランドホテル,青森県八戸市大字番町１４番地,0178-46-1234,http://www.hachinohegrandhotel.com/,青森県/八戸市/番町/１４番地,141.49165,40.5118,5,7
HTL,H0309,八戸パークホテル,青森県八戸市吹上１丁目１５番９０号,0178-43-1111,http://www.hachinoheparkhotel.com/,青森県/八戸市/吹上/一丁目/１５番,141.49931,40.5032,5,7
HTL,H0421,八戸プラザホテル,青森県八戸市柏崎１丁目６番６号,0178-44-3121,http://plazahotel.jp/,青森県/八戸市/柏崎/一丁目/６番,141.49513,40.51493,5,7
HTL,H1155,シティパークホテル八戸,青森県八戸市大字番町５番地５号,0178-45-7711,http://www.citypark-hotel.com/,青森県/八戸市/番町/５番地,141.48938,40.5107,5,7
HTL,H0438,十和田富士屋ホテル,青森県十和田市東三番町１の６,0176-22-7111,http://www.towadafujiya.com/,青森県/十和田市/東三番町/１番,141.21527,40.61543,5,7
HTL,H1146,ロックウッド・ホテル＆スパ,青森県西津軽郡鯵ケ沢町大字長平町字西岩木山７５番地,0173-72-1011,http://www.naqua-shirakami.jp/,青森県/西津軽郡/鰺ヶ沢町/長平町,140.29677,40.69022,5,5
HTL,H0237,盛岡グランドホテル,岩手県盛岡市愛宕下１の１０,019-625-2111,http://www.m-grand.jp/index.html,岩手県/盛岡市/愛宕下/１番地,141.16107,39.71283,5,7
HTL,H0531,ホテルメトロポリタン盛岡,岩手県盛岡市盛岡駅前通１番４４号,0196-25-1211,http://www.metro-morioka.co.jp/,岩手県/盛岡市/盛岡駅前通/１番,141.13716,39.70108,5,7
HTL,H0532,ホテル東日本,岩手県盛岡市大通３の３の１８,019-625-2131,http://www.hotel-higashinihon-morioka.com/,岩手県/盛岡市/大通/三丁目/３番,141.14285,39.70388,5,7
HTL,H1150,ホテルメトロポリタン盛岡ニューウイング,岩手県盛岡市盛岡駅前北通２番地２７号,019-625-1211,http://www.metro-morioka.co.jp/newwing/,岩手県/盛岡市/盛岡駅前北通/２番,141.13667,39.7044,5,7
HTL,H0803,大船渡プラザホテル,岩手県大船渡市大船渡町字茶屋前７番地８,0192-26-3131,http://www.manbo.co.jp/,岩手県/大船渡市/大船渡町/茶屋前/７番地,141.72154,39.06212,5,7
HTL,H1063,ホテルグランシェール花巻,岩手県花巻市大通り１丁目６番７号,0198-22-7777,http://www.hotel-grandciel.com/,岩手県/花巻市/大通り/一丁目/６番,141.11176,39.39247,5,7
HTL,H0699,ホテルニュー江刺,岩手県奥州市江刺区南大通り４の１,0197-35-6101,http://www.ease21.com/,岩手県/奥州市/江刺南大通り/４番,141.1772,39.1875,5,7
HTL,H1262,プラザイン水沢,岩手県奥州市水沢区佐倉河字後田29,0197-25-8811,http://www.plazainn.jp/,岩手県/奥州市/水沢佐倉河/後田,141.14882,39.14873,5,6
HTL,H0799,雫石プリンスホテル,岩手県岩手郡雫石町西根栗木平１５２の３,019-693-1111,http://www.princehotels.co.jp/shizukuishi/,岩手県/岩手郡/雫石町/西根/栗木平,140.94041,39.76527,5,6
HTL,H0608,江陽グランドホテル,宮城県仙台市青葉区本町２の３の１,022-267-5111,http://www.koyogh.jp/index.php,宮城県/仙台市/青葉区/本町/二丁目/３番,140.87421,38.26315,5,7
HTL,H0721,ホテルメトロポリタン仙台,宮城県仙台市青葉区中央１の１の１,022-268-2525,http://sendai.metropolitan.jp/,宮城県/仙台市/青葉区/中央/一丁目/１番,140.8817,38.26034,5,7
HTL,H0775,仙台国際ホテル,宮城県仙台市青葉区中央４の６の１,022-268-1111,http://www.tobu-skh.co.jp/,宮城県/仙台市/青葉区/中央/四丁目/６番,140.87801,38.25657,5,7
HTL,H0654,秋保リゾートホテルクレセント,宮城県仙台市太白区秋保町湯元字行沢１の２,022-397-3111,http://www.h-crescent.co.jp/index.php,宮城県/仙台市/太白区/秋保町湯元/行澤/１番地,140.71484,38.23111,5,7
HTL,H0650,石巻グランドホテル,宮城県石巻市千石町２の１０,0225-93-8111,http://www.grandhotel.bz/,宮城県/石巻市/千石町/２番,141.30807,38.43429,5,7
HTL,H1311,ホテルパールシティ気仙沼,宮城県気仙沼市古町３丁目２－４２,0226-24-2511,http://www.hmi-hotel.co.jp/miyagi/kesen/,宮城県/気仙沼市/古町/三丁目/２番,141.55809,38.90933,5,7
HTL,H1125,ホテルキャッスルプラザ多賀城,宮城県多賀城市桜木１丁目１番６０号,022-367-1111,http://www.castle-tj.jp/,宮城県/多賀城市/桜木/一丁目/１番,141.01114,38.28923,5,7
HTL,H1326,サンホテル多賀城,宮城県多賀城市八幡４丁目７番５２号,022-362-3131,http://www.miyagi-net.org/shop/s/sunhotel/,宮城県/多賀城市/八幡/四丁目/７番,141.0107,38.28996,5,7
HTL,H0649,ホテルグランドプラザ浦島,宮城県栗原市築館字下宮野町下１８,0228-22-4155,http://www.hotel-gp-urashima.com/,宮城県/栗原市/築館/下宮野町下/１８番地,141.02327,38.75591,5,7
HTL,H0802,リゾートパーク・ホテルオニコウベ,宮城県大崎市鳴子温泉鬼首字大清水２６－１７,0229-86-2011,http://www.oni3800.com/,宮城県/大崎市/鳴子温泉鬼首,140.63576,38.82718,5,5
HTL,H1474,ホテルルートイン古川駅前,宮城県大崎市古川駅前大通１－４－１８,0229-22-0095,http://www.route-inn.co.jp/search/hotel/index.php?hotel_id=243,宮城県/大崎市/古川駅前大通/一丁目/４番,140.96503,38.5718,5,7
HTL,H1440,Active Resorts 宮城蔵王,宮城県刈田郡蔵王町遠刈田温泉字鬼石原１－１,0224-34-3600,http://www.daiwaresort.jp/zaou/,宮城県/刈田郡/蔵王町/遠刈田温泉/鬼石原/１番地,140.55374,38.138,5,7
HTL,H1499,竹泉荘　Mt.Zao Onsen Resort&Spa,宮城県刈田郡蔵王町遠刈田温泉字上ノ原88-11,0224-34-1188,http://www.mtzaoresort.com/,宮城県/刈田郡/蔵王町/遠刈田温泉/上ノ原/８８番地,140.556,38.1251,5,7
HTL,H0247,秋田キャッスルホテル,秋田県秋田市中通１丁目３番５号,018-834-1141,http://www.castle-hotel.jp/,秋田県/秋田市/中通/一丁目/３番,140.12007,39.71672,5,7
HTL,H0591,秋田ビューホテル,秋田県秋田市中通２の６の１,018-832-1111,http://www.viewhotels.co.jp/akita/,秋田県/秋田市/中通/二丁目/６番,140.12645,39.71675,5,7
HTL,H0690,ホテルメトロポリタン秋田,秋田県秋田市中通７丁目２番１号,018-831-2222,http://www.metro-akita.jp/,秋田県/秋田市/中通/七丁目/２番,140.12863,39.7124,5,7
HTL,H1453,ダイワロイネットホテル秋田,秋田県秋田市大町２－２－４１,018-883-0500,http://www.daiwaroynet.jp/akita/,秋田県/秋田市/大町/二丁目/２番,140.11729,39.71846,5,7
HTL,H1480,アルバートホテル秋田,秋田県秋田市大町４－３－２２,018-888-3333,http://www.albert-hotel.co.jp/,秋田県/秋田市/大町/四丁目/３番,140.11511,39.71581,5,7
HTL,H1505,ドーミーイン秋田,秋田県秋田市中通２－３－１,018-835-6777,http://www.hotespa.net/hotels/akita/,秋田県/秋田市/中通/二丁目/３番,140.12456,39.71732,5,7
HTL,H0332,ホテルクラウンパレス秋北,秋田県大館市字片町７,0186-43-1313,http://www.crownpalais.jp/shuhoku/,秋田県/大館市/片町/７番地,140.56451,40.27057,5,7
HTL,H0768,湯沢グランドホテル,秋田県湯沢市材木町１の１の１,0183-72-3030,http://www.yuzawa-gh.co.jp/,秋田県/湯沢市/材木町/一丁目/１番,140.48967,39.16322,5,7
HTL,H1028,ホテルガーデンかわむら,秋田県鹿角市花輪字下花輪２４,0186-22-2600,http://www.garden-kawamura.co.jp/,秋田県/鹿角市/花輪/下花輪/２４番地,140.79126,40.19143,5,7
HTL,H0677,ホテルアイリス,秋田県由利本荘市肴町５,0184-24-5115,http://www.hotel-iris.jp/,秋田県/由利本荘市/肴町/５番地,140.04155,39.39081,5,7
HTL,H1235,ホテルエクセルキクスイ,秋田県にかほ市平沢字町田108-1,0184-37-3333,http://www.hotel-excel.co.jp/,秋田県/にかほ市/平沢/町田/１０８番地,139.97261,39.29068,5,7
HTL,H0452,十和田プリンスホテル,秋田県鹿角郡小坂町十和田湖字大川岱,0176-75-3111,http://www.princehotels.co.jp/towada/,秋田県/鹿角郡/小坂町/十和田湖,140.82385,40.45856,5,5
HTL,H0257,山形グランドホテル,山形県山形市本町１の７の４２,023-641-2611,http://www.yamagatagrandhotel.co.jp/,山形県/山形市/本町/一丁目/７番,140.33708,38.25121,5,7
HTL,H0524,ホテルキャッスル,山形県山形市十日町４丁目２番７号,023-631-3311,http://www.hotelcastle.co.jp/,山形県/山形市/十日町/四丁目/２番,140.33434,38.24559,5,7
HTL,H0889,山形七日町ワシントンホテル,山形県山形市七日町1丁目4番31号,023-625-1111,http://washington-hotels.jp/yamagata-nanokamachi/,山形県/山形市/七日町/一丁目/４番,140.33838,38.25378,5,7
HTL,H1055,ホテルメトロポリタン山形,山形県山形市香澄町１丁目１番１号,023-628-1111,http://yamagata.metropolitan.jp/,山形県/山形市/香澄町/一丁目/１番,140.32797,38.24841,5,7
HTL,H0750,東京第一ホテル米沢,山形県米沢市中央１の１３の３,0238-24-0411,http://www.hankyu-hotel.com/hotel/tdhyonezawa/,山形県/米沢市/中央/一丁目/１３番,140.10995,37.91427,5,7
HTL,H0542,東京第一ホテル鶴岡,山形県鶴岡市錦町２の１０,0235-24-7611,http://www.tdh-tsuruoka.co.jp/,山形県/鶴岡市/錦町/２番,139.83214,38.73909,5,7
HTL,H1405,ホテルリッチアンドガーデン酒田,山形県酒田市若竹町１－１－１,0234-26-1111,,山形県/酒田市/若竹町/一丁目/１番,139.83563,38.90814,5,7
HTL,H1353,ホテルシンフォニーアネックス,山形県寒河江市大字寒河江久保１１,0237-83-1222,http://www.hotel-symphony.co.jp/annex/,山形県/寒河江市/大字寒河江/久保/１１番地,140.25826,38.36403,5,7
HTL,H1384,ホテル　サンチェリー,山形県寒河江市本町一丁目２番２３号,0237-83-5000,http://www.suncherry.com/,山形県/寒河江市/本町/一丁目/２番,140.27386,38.37366,5,7
HTL,H1521,チェリーパークホテル,山形県寒河江市大字寒河江字久保15番地の２,0237-83-1511,http://www.cherryparkhotel.com,山形県/寒河江市/大字寒河江/久保/１５番地,140.25826,38.36403,5,7
HTL,H1008,天童リッチホテル,山形県天童市鎌田１丁目１４番２２,023-654-1003,http://www.rich-hotels.co.jp/tendo/,山形県/天童市/鎌田/一丁目/１４番,140.38779,38.361,5,7
HTL,H0667,福島ビューホテル,福島県福島市太田町１３番７３号,0245-31-1111,http://www.fukushima-viewhotel.jp/?PHPSESSID=0f003fee21caa627cf5b3ff39c79c18a,福島県/福島市/太田町/１３番,140.45483,37.75306,5,7
HTL,H0964,ホテル板倉,福島県福島市早稲町５番１７号,024-523-1221,http://www.itakura.co.jp/,福島県/福島市/早稲町/５番,140.46211,37.75236,5,7
HTL,H1009,福島リッチホテル,福島県福島市栄町２番３６号,024-521-1711,http://www.rich-hotels.co.jp/fukushima/index.html,福島県/福島市/栄町/２番,140.46092,37.75698,5,7
HTL,H1493,グランパークホテル　エクセル福島恵比寿,福島県福島市曽根田町１０－６,024-533-4166,http://www.grandpark-ex.jp/fukushima/,福島県/福島市/曽根田町/１０番,140.46094,37.75804,5,7
HTL,H0488,ホテルニューパレス,福島県会津若松市中町２の７８,0242-28-2804,http://www.npls.co.jp/,福島県/会津若松市/中町/２番,139.92528,37.49606,5,7
HTL,H0888,会津若松ワシントンホテル,福島県会津若松市白虎町201番地,0242-22-6111,http://washington-hotels.jp/aizuwakamatsu/,福島県/会津若松市/白虎町/２０１番地,139.93358,37.50698,5,7
HTL,H0442,郡山ビューホテル,福島県郡山市中町３の１,024-924-1111,http://k-viewhotel.jp/,福島県/郡山市/中町/３番,140.38321,37.39576,5,7
HTL,H0756,郡山ビューホテルアネックス,福島県郡山市中町１０の１０,024-939-1111,http://k-viewhotel.jp/,福島県/郡山市/中町/１０番,140.38406,37.39806,5,7
HTL,H0791,ホテルハマツ,福島県郡山市虎丸町３番１８号,024-935-1111,http://www.hotel-hamatsu.co.jp/,福島県/郡山市/虎丸町/３番,140.37604,37.39906,5,7
HTL,H0891,郡山ワシントンホテル,福島県郡山市大町1丁目3番3号,0249-23-1311,http://washington-hotels.jp/koriyama/,福島県/郡山市/大町/一丁目/３番,140.38531,37.39846,5,7
HTL,H1309,相馬ステーションホテル,福島県相馬市中村１丁目８番地の２０,0244-35-1121,http://www.stationhotel.co.jp/,福島県/相馬市/中村/一丁目/８番,140.92546,37.8012,5,7
HTL,H1464,Active Resorts 裏磐梯,福島県耶麻郡北塩原村大字檜原字剣ヶ峯１０９３－３０９,0241-32-3111,http://www.daiwaresort.jp/urabandai/,福島県/耶麻郡/北塩原村/桧原,140.08476,37.6917,5,5
HTL,H1546,アートホテル弘前シティ,青森県弘前市大町１－１－２,0172-37-0700,http://www.naquacity-hirosaki.com/,青森県/弘前市/大町/一丁目/１番,140.48422,40.59814,5,7
HTL,H1533,ホテルイルヴィアーレ八戸,青森県八戸市大字鷹匠小路１３番地,0178-46-0001,http://hoteliviale.com,青森県/八戸市/鷹匠小路/１３番地,141.49223,40.50771,5,7
HTL,H1534,ホテルイルヴィアーレ八戸アネックス,青森県八戸市大字六日町３１番地,0178-46-0002,http://hotelilviale.com,青森県/八戸市/六日町/３１番地,141.49112,40.50856,5,7
HTL,H1545,グランパークホテル　パネックス八戸,青森県八戸市廿六日町８番地,0178-51-8484,http://www.grandpark-px.jp/hachinohe/,青森県/八戸市/廿六日町/８番地,141.48747,40.50707,5,7
HTL,H1639,ホテルクラウンヒルズ古川,宮城県大崎市古川駅前大通り３丁目１番地の３,0229-91-8533,https://breezbay-group.com/hch-furukawa/,宮城県/大崎市/古川駅前大通,140.96597,38.57545,5,5
